,Item,Mean,SD,Min,Max,Percentile rank of 2.0,Percentile rank of -2.0,Percentile (95th),Percentile (5th)
0,1,-0.03356823726877009,1.0079974944300976,-3.752297462336702,3.677167295230368,97.37,2.21,1.6586859795432365,-1.6633264837359674
1,2,-0.06493433438860978,0.9864076321943219,-3.321052465142974,3.470507975774725,97.87,2.07,1.5929148326608493,-1.6631147303219702
2,3,-0.026116749153643003,0.994747906340609,-3.33280947901709,4.9046318178664965,97.46000000000001,2.06,1.6404518906263317,-1.645101579585216
3,4,-0.05099360239232011,0.9961236577544461,-3.7174895933528376,4.3299431774740835,97.69,2.21,1.6144428782784301,-1.6422140623113086
4,5,-0.015278579135315943,0.9972635995942926,-3.476076957578352,3.96160762204577,97.44,2.0,1.647933157398552,-1.6383861449042718
5,6,-0.02972382452281359,0.9897025658500485,-3.4116162829546743,3.971680932331019,97.68,2.04,1.6578343514895888,-1.6090353523743046
6,7,-0.054074536558422516,1.000785353515568,-3.945889333246735,3.864051565576764,97.81,2.1999999999999997,1.6346873323168254,-1.642128128324748
7,8,-0.022340890557113337,0.9982308827795806,-3.50347480599666,3.7649864838464846,97.44,2.1,1.6574031962649676,-1.6240914865834957
8,9,-0.04011014925466732,0.9978086570908652,-3.6743393776451674,4.431967060345741,97.63,2.17,1.6408224300508027,-1.650416137117142
9,10,-0.015378898467692977,0.9993672972354941,-3.3970204259457186,3.844457309619274,97.54,1.95,1.6371784363887147,-1.6125770903777203
10,11,-0.042140881134844384,1.0004133021368262,-3.315791844438914,4.0859127195857745,97.5,2.25,1.6275984636485217,-1.6549500698519009
11,12,-0.01527245709206942,1.0112296262035476,-3.383826285173415,4.186738475924331,97.11999999999999,1.97,1.6864680241364514,-1.6289241284486506
12,13,-0.02134811887658465,0.9946927635594944,-3.0854823888127103,3.9362069574275016,97.75,1.9300000000000002,1.6569406209210669,-1.617520824310932
13,14,-0.03292161300091886,0.9866538969924261,-3.8957429265381536,3.630438849569346,97.64,1.91,1.624576315196978,-1.6306763394729729
14,15,-0.03950461124723602,0.9947956060749924,-3.6334092646302416,3.7585750994425045,97.46000000000001,1.9900000000000002,1.6359541859488553,-1.6326694640852544
15,16,-0.04007983023599851,0.9862529352809883,-3.4171968850832943,4.4144034196756925,97.78,1.87,1.6343496515906106,-1.624868111990653
16,17,-0.02590022806610969,1.0037260495383151,-3.6951087798283764,4.097624512572214,97.39,2.25,1.6456034246694236,-1.639063424492047
17,18,-0.03632660221544005,0.998883923272667,-3.781760871986324,3.944646268303277,97.57000000000001,2.2800000000000002,1.6180667482327198,-1.6619245239397489
18,19,-0.030036596658439406,1.0002490730445228,-3.5644809394219727,4.402898445962513,97.48,2.0500000000000003,1.660324329516579,-1.6396791514841027
19,20,-0.028565299852203817,0.992286472341636,-3.363883037732353,4.261259090912163,97.78,2.0500000000000003,1.6150808287891691,-1.6338654601865634
20,21,-0.0347715686586771,0.990607557071413,-3.605592258521637,3.866793086801802,97.71,1.8599999999999999,1.6414012741682826,-1.6237106300385014
21,22,-0.03730037307192962,0.9872155861545441,-3.5492196351546053,3.956996502958838,97.71,1.95,1.633176349325892,-1.6210011090985197
22,23,-0.025886936793463163,0.9865860690154566,-3.463379668433615,4.039894857591059,97.65,1.8499999999999999,1.6216612647484365,-1.6170547324379498
23,24,-0.0290118735521164,0.9818497895735152,-3.5411919756771635,3.8527959394663847,97.8,2.0,1.611962771288967,-1.617808233249197
24,25,-0.01805823746411655,1.0095275106725572,-3.7178672012000296,4.423252756166135,97.46000000000001,2.0500000000000003,1.6700732482225034,-1.6643408577063799
25,26,-0.041728794634302784,0.992727739364121,-3.6863710642137937,3.911629977861251,97.53,2.02,1.6178965468762734,-1.6299887303495704
26,27,-0.04922377803757362,0.9978457905077183,-3.8935007664624313,3.8351039445688424,97.69,2.1399999999999997,1.6263280753671563,-1.6511622804529704
27,28,-0.033660825278662695,0.9898696886086717,-3.650516669196757,3.7878933962865213,97.82,1.83,1.5956250159977248,-1.6044049160083185
28,29,-0.030369208621745945,0.9973537531072401,-3.9947069482042186,3.9251649503739987,98.0,2.19,1.5950145364447494,-1.6350541750851861
29,30,-0.013983229996968789,0.9995869151943729,-3.85829293972804,3.8365589309834207,97.6,2.11,1.6415407340796353,-1.6354338876998862
30,31,-0.008062978572816902,0.9880744828625716,-3.344121032622816,3.9948549463847463,97.75,1.96,1.6439250823114846,-1.617495937729755
31,32,-0.031161217124376903,0.9997915346684657,-3.9002075899277147,3.660391497864504,97.49,2.01,1.6627884463747316,-1.6396264950427997
32,33,-0.02759903568312563,0.9994475432962077,-3.677532185103976,4.762329751309081,97.43,1.9800000000000002,1.6379750865212244,-1.6275002162787358
33,34,-0.015889973613038542,1.006980576052932,-3.4777364924966605,4.046731599260239,97.34,1.95,1.6632533758616466,-1.642116206186509
34,35,-0.010397673654380591,0.9963297614666754,-3.625453267340083,4.195638041155856,97.78,2.04,1.6330709128647978,-1.6087350351720653
35,36,-0.052180979738315134,1.000279027710314,-3.8550959110466696,4.31374251381204,97.71,2.26,1.646517871488568,-1.6650968003300177
36,37,-0.04151102965670489,0.9940511479848032,-3.6122096052133448,3.756501632457764,97.41,2.0500000000000003,1.6397415069586263,-1.6730199497509608
37,38,-0.012358693545593904,0.9966131915719155,-3.7277834347975065,4.319533453356691,97.46000000000001,2.19,1.6446916736527135,-1.622752739428615
38,39,-0.022219203866164383,0.9948535067152162,-3.621078397497697,3.9113099873924875,97.46000000000001,2.1,1.6424753350148873,-1.6462749570911794
39,40,-0.03325719305188959,0.9891042366694432,-3.2652710542488843,3.966074265875676,97.82,2.15,1.6106218767854206,-1.6419668647019865
40,41,-0.04647926522644503,0.995289587828582,-3.352012725344168,3.7054634442379184,97.7,2.41,1.606767847097732,-1.6347232210604359
